"Story","Title","Result","Date","Stability","Duration (s)"
"U Test","account creation in my store","PENDING","2021-02-03T21:49:27.296-05:00[America/Bogota]","0.0","0.01"
"U Test","Log in in my store","PENDING","2021-02-03T21:49:54.553-05:00[America/Bogota]","0.0","22.09"
